--- scanner 0 ---
801,940,813
620,888,825
987,567,-489
-283,662,455
64,125,-67
-556,-453,660
898,-661,-511
878,634,-457
-362,870,-789
696,-414,521
725,892,765
-683,-735,-482
615,-408,505
-642,-411,520
630,-364,389
-353,635,442
-357,783,-710
-730,-720,-602
906,720,-516
965,-768,-610
-302,752,-719
171,57,78
-707,-337,671
-367,646,507
-661,-699,-444
983,-703,-484

--- scanner 14 ---
-406,-409,768
-851,263,645
670,578,-625
-390,-794,-693
-784,370,546
-582,617,-486
-325,-493,743
738,-791,-847
-869,328,519
61,-103,74
756,620,-485
821,694,-636
844,311,637
-306,-729,-792
-501,623,-470
-516,667,-354
-325,-737,-527
475,-984,551
-360,-473,625
606,-844,-803
548,-970,346
538,-957,395
797,296,517
602,-687,-791
775,332,479
